event_id,account,kind,amount,date
evt-0149,south,charge,4.33,2026-08-10
evt-0150,east,refund,5.50,2026-08-11
evt-0151,west,charge,6.67,2026-08-12
evt-0152,north,charge,7.84,2026-08-13
evt-0153,south,charge,8.01,2026-08-14
evt-0154,east,charge,9.18,2026-08-15
evt-0154,east,charge,9.18,2026-08-15
evt-0155,west,refund,10.35,2026-08-16
evt-0156,north,void,11.52,2026-08-17
evt-0157,south,charge,12.69,2026-08-18
evt-0158,east,charge,13.86,2026-08-19
evt-0159,west,charge,14.03,2026-08-20
evt-0160,north,refund,15.20,2026-08-21
evt-0161,south,charge,16.37,2026-08-22
evt-0161,south,charge,16.37,2026-08-22
evt-0162,east,charge,17.54,2026-08-23
evt-0163,west,charge,18.71,2026-08-24
evt-0164,north,charge,19.88,2026-08-25
evt-0165,south,refund,20.05,2026-08-26
evt-0166,east,charge,21.22,2026-08-27
evt-0167,west,charge,22.39,2026-08-28
evt-0168,north,charge,23.56,2026-08-01
evt-0168,north,charge,23.56,2026-08-01
evt-0169,south,void,24.73,2026-08-02
evt-0170,east,refund,25.90,2026-08-03
evt-0171,west,charge,26.07,2026-08-04
evt-0172,north,charge,27.24,2026-08-05
evt-0173,south,charge,28.41,2026-08-06
evt-0174,east,charge,0.58,2026-08-07
evt-0175,west,refund,1.75,2026-08-08
evt-0175,west,refund,1.75,2026-08-08
evt-0176,north,charge,2.92,2026-08-09
evt-0177,south,charge,3.09,2026-08-10
evt-0178,east,charge,4.26,2026-08-11
evt-0179,west,charge,5.43,2026-08-12
evt-0180,north,refund,6.60,2026-08-13
evt-0181,south,charge,7.77,2026-08-14
evt-0182,east,void,8.94,2026-08-15
evt-0182,east,void,8.94,2026-08-15
evt-0183,west,charge,9.11,2026-08-16
evt-0184,north,charge,10.28,2026-08-17
evt-0185,south,refund,11.45,2026-08-18
evt-0186,east,charge,12.62,2026-08-19
evt-0187,west,charge,13.79,2026-08-20
evt-0188,north,charge,14.96,2026-08-21
evt-0189,south,charge,15.13,2026-08-22
evt-0189,south,charge,15.13,2026-08-22
evt-0190,east,refund,16.30,2026-08-23
evt-0191,west,charge,17.47,2026-08-24
evt-0192,north,charge,18.64,2026-08-25
evt-0193,south,charge,19.81,2026-08-26
evt-0194,east,charge,20.98,2026-08-27
evt-0195,west,void,21.15,2026-08-28
evt-0196,north,charge,22.32,2026-08-01
evt-0196,north,charge,22.32,2026-08-01
evt-0197,south,charge,23.49,2026-08-02
evt-0198,east,charge,24.66,2026-08-03
evt-0199,west,charge,25.83,2026-08-04
evt-0200,north,refund,26.00,2026-08-05
evt-0201,south,charge,27.17,2026-08-06
evt-0202,east,charge,28.34,2026-08-07
evt-0203,west,charge,0.51,2026-08-08
evt-0203,west,charge,0.51,2026-08-08
evt-0204,north,charge,1.68,2026-08-09
evt-0205,south,refund,2.85,2026-08-10
evt-0206,east,charge,3.02,2026-08-11
evt-0207,west,charge,4.19,2026-08-12
evt-0208,north,void,5.36,2026-08-13
evt-0209,south,charge,6.53,2026-08-14
evt-0210,east,refund,7.70,2026-08-15
evt-0210,east,refund,7.70,2026-08-15
evt-0211,west,charge,8.87,2026-08-16
evt-0212,north,charge,9.04,2026-08-17
evt-0213,south,charge,10.21,2026-08-18
evt-0214,east,charge,11.38,2026-08-19
evt-0215,west,refund,12.55,2026-08-20
evt-0216,north,charge,13.72,2026-08-21
evt-0217,south,charge,14.89,2026-08-22
evt-0217,south,charge,14.89,2026-08-22
evt-0218,east,charge,15.06,2026-08-23
evt-0219,west,charge,16.23,2026-08-24
evt-0220,north,refund,17.40,2026-08-25
evt-0221,south,void,18.57,2026-08-26
evt-0222,east,charge,19.74,2026-08-27
evt-0223,west,charge,20.91,2026-08-28
evt-0224,north,charge,21.08,2026-08-01
evt-0224,north,charge,21.08,2026-08-01
evt-0225,south,refund,22.25,2026-08-02
evt-0226,east,charge,23.42,2026-08-03
evt-0227,west,charge,24.59,2026-08-04
evt-0228,north,charge,25.76,2026-08-05
evt-0229,south,charge,26.93,2026-08-06
evt-0230,east,refund,27.10,2026-08-07
evt-0231,west,charge,28.27,2026-08-08
evt-0231,west,charge,28.27,2026-08-08
evt-0232,north,charge,0.44,2026-08-09
evt-0233,south,charge,1.61,2026-08-10
evt-0234,east,void,2.78,2026-08-11
evt-0235,west,refund,3.95,2026-08-12
evt-0236,north,charge,4.12,2026-08-13
evt-0237,south,charge,5.29,2026-08-14
evt-0238,east,charge,6.46,2026-08-15
evt-0238,east,charge,6.46,2026-08-15
evt-0239,west,charge,7.63,2026-08-16
